,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Winkel,47.4919,8.5537,"Gasthof Hecht ""Stützli 50""",47.49176874138484,8.547449059958236,Swiss Restaurant
1,Winkel,47.4919,8.5537,Blumen Ursula,47.493552,8.555934,Flower Shop
2,Winkel,47.4919,8.5537,Hecht Winkel,47.49198493164601,8.54777542120506,Gastropub
3,Winkel,47.4919,8.5537,Sila Market,47.49192880761373,8.547680611123265,Department Store
4,Birmensdorf (ZH),47.3552,8.4426,Coop,47.352149416977845,8.437788483593097,Supermarket
5,Birmensdorf (ZH),47.3552,8.4426,Bahnhof Birmensdorf,47.35756702694989,8.437343548518676,Train Station
6,Birmensdorf (ZH),47.3552,8.4426,Busbahnhof,47.356892534252786,8.438750900033263,Bus Station
7,Birmensdorf (ZH),47.3552,8.4426,Pizzeria Sapori Antichi,47.356027643440136,8.437331541134645,Pizza Place
8,Birmensdorf (ZH),47.3552,8.4426,Bäckerei Konditorei Bode,47.353914626199554,8.436961395659573,Bakery
9,Birmensdorf (ZH),47.3552,8.4426,Snack-Center Freihof,47.35347757310739,8.437199665747844,Diner
10,Birmensdorf (ZH),47.3552,8.4426,Migros,47.35391413626213,8.436899185180664,Food & Drink Shop
11,Birmensdorf (ZH),47.3552,8.4426,Restaurant Sonne,47.35235535051474,8.437689064811366,Swiss Restaurant
12,Adliswil,47.31,8.5246,Migros,47.31126563647036,8.525527682120702,Supermarket
13,Adliswil,47.31,8.5246,Coop,47.312971816855566,8.525242202540964,Supermarket
14,Adliswil,47.31,8.5246,Orient Pizza Kebab,47.308722138404846,8.52512776851654,Fast Food Restaurant
15,Adliswil,47.31,8.5246,Wachtstübli,47.311203018261615,8.52724597396933,Restaurant
16,Adliswil,47.31,8.5246,New Point,47.31237461417715,8.524610305517985,Falafel Restaurant
17,Adliswil,47.31,8.5246,SZU Adliswil,47.3124684398061,8.524079688977949,Light Rail Station
18,Adliswil,47.31,8.5246,Restaurant zur Au,47.312442274153035,8.526197196259382,Swiss Restaurant
19,Adliswil,47.31,8.5246,Sihlpark,47.310304457725934,8.529059697261967,Park
